id,name,slug,code,ranking,population,electoral_register,mp_name,created_at,updated_at
2335,Hertsmere,hertsmere,E14001284,463,105909,73256,,2024-11-05 09:35:55,2024-11-05 09:35:55
2336,North East Cambridgeshire,north-east-cambridgeshire,E14001390,464,102459,70806,,2024-11-05 09:35:55,2024-11-05 09:35:55
2337,Aylesbury,aylesbury,E14001071,465,109462,75636,,2024-11-05 09:35:55,2024-11-05 09:35:55
2338,Bracknell,bracknell,E14001117,466,101779,70247,,2024-11-05 09:35:55,2024-11-05 09:35:55
2339,Woking,woking,E14001592,467,103944,71737,,2024-11-05 09:35:55,2024-11-05 09:35:55
2340,Bristol East,bristol-east,E14001132,468,110057,75936,,2024-11-05 09:35:55,2024-11-05 09:35:55
2341,Wythenshawe and Sale East,wythenshawe-and-sale-east,E14001602,469,111581,76971,,2024-11-05 09:35:55,2024-11-05 09:35:55
2342,Kettering,kettering,E14001311,470,110600,76163,,2024-11-05 09:35:55,2024-11-05 09:35:55
2343,Burnley,burnley,E14001142,471,109554,75436,,2024-11-05 09:35:55,2024-11-05 09:35:55
2344,Ashford,ashford,E14001069,472,106816,73546,,2024-11-05 09:35:55,2024-11-05 09:35:55
2345,Portsmouth South,portsmouth-south,E14001432,473,107870,74253,,2024-11-05 09:35:55,2024-11-05 09:35:55
2346,Banbury,banbury,E14001072,474,101692,69943,,2024-11-05 09:35:55,2024-11-05 09:35:55
2347,Aberdeen North,aberdeen-north,S14000060,475,111947,76895,,2024-11-05 09:35:55,2024-11-05 09:35:55
2348,Dunstable and Leighton Buzzard,dunstable-and-leighton-buzzard,E14001206,476,107980,74069,,2024-11-05 09:35:55,2024-11-05 09:35:55
2349,Croydon East,croydon-east,E14001186,477,109851,75346,,2024-11-05 09:35:55,2024-11-05 09:35:55
2350,Filton and Bradley Stoke,filton-and-bradley-stoke,E14001237,478,107341,73598,,2024-11-05 09:35:55,2024-11-05 09:35:55
2351,North Antrim,north-antrim,N05000012,479,103832,71165,,2024-11-05 09:35:55,2024-11-05 09:35:55
2352,Nottingham North and Kimberley,nottingham-north-and-kimberley,E14001411,480,108748,74515,,2024-11-05 09:35:55,2024-11-05 09:35:55
2353,Belfast East,belfast-east,N05000001,481,102279,70076,,2024-11-05 09:35:55,2024-11-05 09:35:55
2354,York Central,york-central,E14001604,482,109268,74854,,2024-11-05 09:35:55,2024-11-05 09:35:55
2355,Edinburgh South West,edinburgh-south-west,S14000081,483,107030,73315,,2024-11-05 09:35:55,2024-11-05 09:35:55
2356,Hornsey and Friern Barnet,hornsey-and-friern-barnet,E14001293,484,103101,70565,,2024-11-05 09:35:55,2024-11-05 09:35:55
2357,Coventry North West,coventry-north-west,E14001181,485,107290,73431,,2024-11-05 09:35:55,2024-11-05 09:35:55
2358,Plymouth Sutton and Devonport,plymouth-sutton-and-devonport,E14001427,486,107388,73495,,2024-11-05 09:35:55,2024-11-05 09:35:55
2359,Bournemouth East,bournemouth-east,E14001115,487,106938,73173,,2024-11-05 09:35:55,2024-11-05 09:35:55
2360,Aberdeen South,aberdeen-south,S14000061,488,112074,76560,,2024-11-05 09:35:55,2024-11-05 09:35:55
2361,Hemel Hempstead,hemel-hempstead,E14001278,489,103296,70496,,2024-11-05 09:35:55,2024-11-05 09:35:55
2362,South Down,south-down,N05000015,490,105241,71772,,2024-11-05 09:35:55,2024-11-05 09:35:55
2363,Birmingham Northfield,birmingham-northfield,E14001097,491,107785,73483,,2024-11-05 09:35:55,2024-11-05 09:35:55
2364,Wellingborough and Rushden,wellingborough-and-rushden,E14001571,492,112460,76669,,2024-11-05 09:35:55,2024-11-05 09:35:55
2365,Chingford and Woodford Green,chingford-and-woodford-green,E14001167,493,111005,75677,,2024-11-05 09:35:55,2024-11-05 09:35:55
2366,Gravesham,gravesham,E14001254,494,106900,72866,,2024-11-05 09:35:55,2024-11-05 09:35:55
2367,Lagan Valley,lagan-valley,N05000009,495,112010,76332,,2024-11-05 09:35:55,2024-11-05 09:35:55
2368,Sutton and Cheam,sutton-and-cheam,E14001534,496,104628,71284,,2024-11-05 09:35:55,2024-11-05 09:35:55
2369,Romford,romford,E14001448,497,108262,73730,,2024-11-05 09:35:55,2024-11-05 09:35:55
2370,Sittingbourne and Sheppey,sittingbourne-and-sheppey,E14001474,498,113014,76818,,2024-11-05 09:35:55,2024-11-05 09:35:55
2371,Cardiff South and Penarth,cardiff-south-and-penarth,W07000091,499,106457,72269,,2024-11-05 09:35:55,2024-11-05 09:35:55
2372,Huddersfield,huddersfield,E14001297,500,112040,76044,,2024-11-05 09:35:55,2024-11-05 09:35:55
2373,Swindon North,swindon-north,E14001536,501,106394,72163,,2024-11-05 09:35:55,2024-11-05 09:35:55
2374,Oxford West and Abingdon,oxford-west-and-abingdon,E14001420,502,106263,72004,,2024-11-05 09:35:55,2024-11-05 09:35:55
2375,Vauxhall and Camberwell Green,vauxhall-and-camberwell-green,E14001559,503,103329,69995,,2024-11-05 09:35:55,2024-11-05 09:35:55
2376,Dewsbury and Batley,dewsbury-and-batley,E14001196,504,103777,70226,,2024-11-05 09:35:55,2024-11-05 09:35:55
2377,Wimbledon,wimbledon,E14001586,505,110395,74641,,2024-11-05 09:35:55,2024-11-05 09:35:55
2378,Bolton North East,bolton-north-east,E14001110,506,113917,77020,,2024-11-05 09:35:55,2024-11-05 09:35:55
2379,Telford,telford,E14001541,507,104800,70768,,2024-11-05 09:35:55,2024-11-05 09:35:55
2380,Wycombe,wycombe,E14001600,508,106286,71769,,2024-11-05 09:35:55,2024-11-05 09:35:55
2381,Chipping Barnet,chipping-barnet,E14001169,509,112900,76187,,2024-11-05 09:35:55,2024-11-05 09:35:55
2382,Wolverhampton North East,wolverhampton-north-east,E14001594,510,104529,70449,,2024-11-05 09:35:55,2024-11-05 09:35:55
2383,Islington North,islington-north,E14001305,511,109828,73970,,2024-11-05 09:35:55,2024-11-05 09:35:55
2384,South Antrim,south-antrim,N05000014,512,106441,71646,,2024-11-05 09:35:55,2024-11-05 09:35:55
2385,Richmond Park,richmond-park,E14001445,513,111479,75037,,2024-11-05 09:35:55,2024-11-05 09:35:55
2386,Bournemouth West,bournemouth-west,E14001116,514,107222,72094,,2024-11-05 09:35:55,2024-11-05 09:35:55
2387,Colchester,colchester,E14001176,515,114325,76843,,2024-11-05 09:35:55,2024-11-05 09:35:55
2388,Oldham East and Saddleworth,oldham-east-and-saddleworth,E14001415,516,108607,72997,,2024-11-05 09:35:55,2024-11-05 09:35:55
2389,Maidstone and Malling,maidstone-and-malling,E14001349,517,108776,73084,,2024-11-05 09:35:55,2024-11-05 09:35:55
2390,Eltham and Chislehurst,eltham-and-chislehurst,E14001223,518,110420,74179,,2024-11-05 09:35:55,2024-11-05 09:35:55
2391,Glasgow North,glasgow-north,S14000085,519,109093,73210,,2024-11-05 09:35:55,2024-11-05 09:35:55
2392,Wolverhampton West,wolverhampton-west,E14001596,520,112655,75592,,2024-11-05 09:35:55,2024-11-05 09:35:55
2393,Cardiff East,cardiff-east,W07000089,521,108009,72463,,2024-11-05 09:35:55,2024-11-05 09:35:55
2394,Burton and Uttoxeter,burton-and-uttoxeter,E14001143,522,112531,75460,,2024-11-05 09:35:55,2024-11-05 09:35:55
2395,Windsor,windsor,E14001588,523,110871,74338,,2024-11-05 09:35:55,2024-11-05 09:35:55
2396,Belfast North,belfast-north,N05000002,524,106489,71372,,2024-11-05 09:35:55,2024-11-05 09:35:55
2397,Leeds East,leeds-east,E14001320,525,112581,75330,,2024-11-05 09:35:55,2024-11-05 09:35:55
2398,Newcastle upon Tyne East and Wallsend,newcastle-upon-tyne-east-and-wallsend,E14001378,526,114907,76875,,2024-11-05 09:35:55,2024-11-05 09:35:55
2399,Doncaster Central,doncaster-central,E14001198,527,112140,75007,,2024-11-05 09:35:55,2024-11-05 09:35:55
2400,Hackney South and Shoreditch,hackney-south-and-shoreditch,E14001260,528,112557,75197,,2024-11-05 09:35:55,2024-11-05 09:35:55
2401,Fermanagh and South Tyrone,fermanagh-and-south-tyrone,N05000007,529,111790,74643,,2024-11-05 09:35:55,2024-11-05 09:35:55
2402,Newry and Armagh,newry-and-armagh,N05000011,530,111747,74585,,2024-11-05 09:35:55,2024-11-05 09:35:55
2403,Mid Ulster,mid-ulster,N05000010,531,105230,70094,,2024-11-05 09:35:55,2024-11-05 09:35:55
2404,Edinburgh East and Musselburgh,edinburgh-east-and-musselburgh,S14000078,532,113742,75705,,2024-11-05 09:35:55,2024-11-05 09:35:55
2405,Rugby,rugby,E14001453,533,109407,72603,,2024-11-05 09:35:55,2024-11-05 09:35:55
2406,Earley and Woodley,earley-and-woodley,E14001210,534,105714,70083,,2024-11-05 09:35:55,2024-11-05 09:35:55
2407,"Oldham West, Chadderton and Royton",oldham-west-chadderton-and-royton,E14001416,535,112024,74183,,2024-11-05 09:35:55,2024-11-05 09:35:55
2408,Dartford,dartford,E14001191,536,108841,72048,,2024-11-05 09:35:55,2024-11-05 09:35:55
2409,Harlow,harlow,E14001267,537,111117,73479,,2024-11-05 09:35:55,2024-11-05 09:35:55
2410,Battersea,battersea,E14001081,538,108900,71949,,2024-11-05 09:35:55,2024-11-05 09:35:55
2411,Bermondsey and Old Southwark,bermondsey-and-old-southwark,E14001085,539,107159,70602,,2024-11-05 09:35:55,2024-11-05 09:35:55
2412,Gloucester,gloucester,E14001248,540,116415,76695,,2024-11-05 09:35:55,2024-11-05 09:35:55
2413,Birmingham Edgbaston,birmingham-edgbaston,E14001092,541,108344,71354,,2024-11-05 09:35:55,2024-11-05 09:35:55
2414,Peckham,peckham,E14001421,542,108102,71176,,2024-11-05 09:35:55,2024-11-05 09:35:55
2415,Kingston upon Hull North and Cottingham,kingston-upon-hull-north-and-cottingham,E14001314,543,115500,76039,,2024-11-05 09:35:55,2024-11-05 09:35:55
2416,Corby and East Northamptonshire,corby-and-east-northamptonshire,E14001179,544,116591,76748,,2024-11-05 09:35:55,2024-11-05 09:35:55
2417,Putney,putney,E14001434,545,111320,73041,,2024-11-05 09:35:55,2024-11-05 09:35:55
2418,Southampton Itchen,southampton-itchen,E14001499,546,110063,72150,,2024-11-05 09:35:55,2024-11-05 09:35:55
2419,Welwyn Hatfield,welwyn-hatfield,E14001573,547,113749,74535,,2024-11-05 09:35:55,2024-11-05 09:35:55
2420,Kingston and Surbiton,kingston-and-surbiton,E14001312,548,115117,75410,,2024-11-05 09:35:55,2024-11-05 09:35:55
2421,Islington South and Finsbury,islington-south-and-finsbury,E14001306,549,115956,75905,,2024-11-05 09:35:55,2024-11-05 09:35:55
2422,Ipswich,ipswich,E14001302,550,114821,75117,,2024-11-05 09:35:55,2024-11-05 09:35:55
2423,Aldershot,aldershot,E14001063,551,117431,76765,,2024-11-05 09:35:55,2024-11-05 09:35:55
2424,Gorton and Denton,gorton-and-denton,E14001251,552,113690,74306,,2024-11-05 09:35:55,2024-11-05 09:35:55
2425,Boston and Skegness,boston-and-skegness,E14001114,553,116189,75806,,2024-11-05 09:35:55,2024-11-05 09:35:55
2426,West Bromwich,west-bromwich,E14001574,554,110888,72206,,2024-11-05 09:35:55,2024-11-05 09:35:55
2427,Bradford South,bradford-south,E14001119,555,109262,70890,,2024-11-05 09:35:55,2024-11-05 09:35:55
2428,Hackney North and Stoke Newington,hackney-north-and-stoke-newington,E14001259,556,116268,75401,,2024-11-05 09:35:55,2024-11-05 09:35:55
2429,Northampton South,northampton-south,E14001407,557,110385,71512,,2024-11-05 09:35:55,2024-11-05 09:35:55
2430,Tipton and Wednesbury,tipton-and-wednesbury,E14001547,558,113995,73820,,2024-11-05 09:35:55,2024-11-05 09:35:55
2431,Sheffield Brightside and Hillsborough,sheffield-brightside-and-hillsborough,E14001466,559,110043,71154,,2024-11-05 09:35:55,2024-11-05 09:35:55
2432,Birmingham Hall Green and Moseley,birmingham-hall-green-and-moseley,E14001094,560,117298,75781,,2024-11-05 09:35:55,2024-11-05 09:35:55
2433,West Suffolk,west-suffolk,E14001578,561,118147,76243,,2024-11-05 09:35:55,2024-11-05 09:35:55
2434,Harrow East,harrow-east,E14001270,562,118307,76299,,2024-11-05 09:35:55,2024-11-05 09:35:55
2435,Blackley and Middleton South,blackley-and-middleton-south,E14001103,563,110744,71375,,2024-11-05 09:35:55,2024-11-05 09:35:55
2436,Middlesbrough and Thornaby East,middlesbrough-and-thornaby-east,E14001367,564,111339,71742,,2024-11-05 09:35:55,2024-11-05 09:35:55
2437,North West Cambridgeshire,north-west-cambridgeshire,E14001401,565,114219,73556,,2024-11-05 09:35:55,2024-11-05 09:35:55
2438,Hammersmith and Chiswick,hammersmith-and-chiswick,E14001264,566,116230,74746,,2024-11-05 09:35:55,2024-11-05 09:35:55
2439,Streatham and Croydon North,streatham-and-croydon-north,E14001527,567,118580,76050,,2024-11-05 09:35:55,2024-11-05 09:35:55
2440,Swindon South,swindon-south,E14001537,568,113019,72468,,2024-11-05 09:35:55,2024-11-05 09:35:55
2441,Watford,watford,E14001568,569,110251,70576,,2024-11-05 09:35:55,2024-11-05 09:35:55
2442,Chelsea and Fulham,chelsea-and-fulham,E14001160,570,119522,76481,,2024-11-05 09:35:55,2024-11-05 09:35:55
2443,Manchester Rusholme,manchester-rusholme,E14001353,571,110663,70692,,2024-11-05 09:35:55,2024-11-05 09:35:55
2444,Walsall and Bloxwich,walsall-and-bloxwich,E14001562,572,117315,74866,,2024-11-05 09:35:55,2024-11-05 09:35:55
2445,Bedford,bedford,E14001084,573,109965,70068,,2024-11-05 09:35:55,2024-11-05 09:35:55
2446,Hampstead and Highgate,hampstead-and-highgate,E14001265,574,116879,74222,,2024-11-05 09:35:55,2024-11-05 09:35:55
2447,Uxbridge and South Ruislip,uxbridge-and-south-ruislip,E14001558,575,118332,75042,,2024-11-05 09:35:55,2024-11-05 09:35:55
2448,Birmingham Yardley,birmingham-yardley,E14001100,576,113516,71912,,2024-11-05 09:35:55,2024-11-05 09:35:55
2449,Southampton Test,southampton-test,E14001500,577,110531,69960,,2024-11-05 09:35:55,2024-11-05 09:35:55
2450,Luton North,luton-north,E14001345,578,115757,73266,,2024-11-05 09:35:55,2024-11-05 09:35:55
2451,Wolverhampton South East,wolverhampton-south-east,E14001595,579,119746,75685,,2024-11-05 09:35:55,2024-11-05 09:35:55
2452,Preston,preston,E14001433,580,115485,72946,,2024-11-05 09:35:55,2024-11-05 09:35:55
2453,Lincoln,lincoln,E14001336,581,117371,74128,,2024-11-05 09:35:55,2024-11-05 09:35:55
2454,Birmingham Erdington,birmingham-erdington,E14001093,582,121720,76856,,2024-11-05 09:35:55,2024-11-05 09:35:55
2455,Upper Bann,upper-bann,N05000017,583,122038,76969,,2024-11-05 09:35:55,2024-11-05 09:35:55
2456,Birmingham Hodge Hill and Solihull North,birmingham-hodge-hill-and-solihull-north,E14001095,584,122292,76922,,2024-11-05 09:35:55,2024-11-05 09:35:55
2457,Crawley,crawley,E14001184,585,118493,74446,,2024-11-05 09:35:55,2024-11-05 09:35:55
2458,Blackburn,blackburn,E14001102,586,112410,70586,,2024-11-05 09:35:55,2024-11-05 09:35:55
2459,Lewisham North,lewisham-north,E14001332,587,117124,73504,,2024-11-05 09:35:55,2024-11-05 09:35:55
2460,Ilford North,ilford-north,E14001300,588,119480,74684,,2024-11-05 09:35:55,2024-11-05 09:35:55
2461,Stoke-on-Trent Central,stoke-on-trent-central,E14001520,589,112940,70550,,2024-11-05 09:35:55,2024-11-05 09:35:55
2462,Mitcham and Morden,mitcham-and-morden,E14001371,590,123760,76877,,2024-11-05 09:35:55,2024-11-05 09:35:55
2463,Coventry East,coventry-east,E14001180,591,118282,73389,,2024-11-05 09:35:55,2024-11-05 09:35:55
2464,Smethwick,smethwick,E14001478,592,114897,71195,,2024-11-05 09:35:55,2024-11-05 09:35:55
2465,Nottingham East,nottingham-east,E14001410,593,121914,75327,,2024-11-05 09:35:55,2024-11-05 09:35:55
2466,Dagenham and Rainham,dagenham-and-rainham,E14001189,594,119198,73627,,2024-11-05 09:35:55,2024-11-05 09:35:55
2467,Oxford East,oxford-east,E14001419,595,117459,72371,,2024-11-05 09:35:55,2024-11-05 09:35:55
2468,Manchester Central,manchester-central,E14001352,596,122417,75311,,2024-11-05 09:35:55,2024-11-05 09:35:55
2469,Leicester East,leicester-east,E14001326,597,124657,76465,,2024-11-05 09:35:55,2024-11-05 09:35:55
2470,Bolton South and Walkden,bolton-south-and-walkden,E14001111,598,123536,75716,,2024-11-05 09:35:55,2024-11-05 09:35:55
2471,Reading Central,reading-central,E14001438,599,116335,71283,,2024-11-05 09:35:55,2024-11-05 09:35:55
2472,Lewisham East,lewisham-east,E14001331,600,117191,71706,,2024-11-05 09:35:55,2024-11-05 09:35:55
2473,Harrow West,harrow-west,E14001271,601,121390,74060,,2024-11-05 09:35:55,2024-11-05 09:35:55
2474,Milton Keynes Central,milton-keynes-central,E14001369,602,125816,76708,,2024-11-05 09:35:55,2024-11-05 09:35:55
2475,Cities of London and Westminster,cities-of-london-and-westminster,E14001172,603,119981,73140,,2024-11-05 09:35:55,2024-11-05 09:35:55
2476,Leyton and Wanstead,leyton-and-wanstead,E14001334,604,117245,71330,,2024-11-05 09:35:55,2024-11-05 09:35:55
2477,Derby South,derby-south,E14001194,605,118517,72067,,2024-11-05 09:35:55,2024-11-05 09:35:55
2478,Birmingham Perry Barr,birmingham-perry-barr,E14001098,606,121861,74048,,2024-11-05 09:35:55,2024-11-05 09:35:55
2479,Bethnal Green and Stepney,bethnal-green-and-stepney,E14001086,607,126756,77000,,2024-11-05 09:35:55,2024-11-05 09:35:55
2480,Thurrock,thurrock,E14001546,608,120808,73347,,2024-11-05 09:35:55,2024-11-05 09:35:55
2481,"Queen's Park and Maida Vale",queens-park-and-maida-vale,E14001435,609,123967,75256,,2024-11-05 09:35:55,2024-11-05 09:35:55
2482,Bradford East,bradford-east,E14001118,610,118992,72150,,2024-11-05 09:35:55,2024-11-05 09:35:55
2483,Enfield North,enfield-north,E14001225,611,127376,76824,,2024-11-05 09:35:55,2024-11-05 09:35:55
2484,Belfast South and Mid Down,belfast-south-and-mid-down,N05000003,612,119550,71978,,2024-11-05 13:42:34,2024-11-05 13:42:34
2485,Ealing Southall,ealing-southall,E14001209,613,124902,75085,,2024-11-05 13:42:34,2024-11-05 13:42:34
2486,Leeds South,leeds-south,E14001323,614,124390,74726,,2024-11-05 13:42:34,2024-11-05 13:42:34
2487,Finchley and Golders Green,finchley-and-golders-green,E14001238,615,126128,75761,,2024-11-05 13:42:34,2024-11-05 13:42:34
2488,Salford,salford,E14001459,616,120598,72169,,2024-11-05 13:42:34,2024-11-05 13:42:34
2489,Leicester South,leicester-south,E14001327,617,118802,71007,,2024-11-05 13:42:34,2024-11-05 13:42:34
2490,Liverpool Riverside,liverpool-riverside,E14001338,618,117738,70157,,2024-11-05 13:42:34,2024-11-05 13:42:34
2491,Greenwich and Woolwich,greenwich-and-woolwich,E14001257,619,117455,69824,,2024-11-05 13:42:34,2024-11-05 13:42:34
2492,Brentford and Isleworth,brentford-and-isleworth,E14001124,620,128727,76354,,2024-11-05 13:42:34,2024-11-05 13:42:34
2493,Edmonton and Winchmore Hill,edmonton-and-winchmore-hill,E14001221,621,126808,75204,,2024-11-05 13:42:34,2024-11-05 13:42:34
2494,Coventry South,coventry-south,E14001182,622,119750,70998,,2024-11-05 13:42:34,2024-11-05 13:42:34
2495,Southgate and Wood Green,southgate-and-wood-green,E14001503,623,128474,76034,,2024-11-05 13:42:34,2024-11-05 13:42:34
2496,Northampton North,northampton-north,E14001406,624,128267,75713,,2024-11-05 13:42:34,2024-11-05 13:42:34
2497,Bradford West,bradford-west,E14001120,625,121355,71258,,2024-11-05 13:42:34,2024-11-05 13:42:34
2498,Newcastle upon Tyne Central and West,newcastle-upon-tyne-central-and-west,E14001377,626,130745,76460,,2024-11-05 13:42:34,2024-11-05 13:42:34
2499,Cambridge,cambridge,E14001149,627,124084,72560,,2024-11-05 13:42:34,2024-11-05 13:42:34
2500,Leicester West,leicester-west,E14001328,628,125114,72848,,2024-11-05 13:42:34,2024-11-05 13:42:34
2501,Walthamstow,walthamstow,E14001563,629,122417,70867,,2024-11-05 13:42:34,2024-11-05 13:42:34
2502,Stratford and Bow,stratford-and-bow,E14001525,630,127715,73849,,2024-11-05 13:42:34,2024-11-05 13:42:34
2503,Croydon West,croydon-west,E14001188,631,122503,70812,,2024-11-05 13:42:34,2024-11-05 13:42:34
2504,Hayes and Harlington,hayes-and-harlington,E14001276,632,126402,72897,,2024-11-05 13:42:34,2024-11-05 13:42:34
2505,Brent West,brent-west,E14001123,633,133671,76463,,2024-11-05 13:42:34,2024-11-05 13:42:34
2506,Kensington and Bayswater,kensington-and-bayswater,E14001310,634,132865,75980,,2024-11-05 13:42:34,2024-11-05 13:42:34
2507,Ealing North,ealing-north,E14001208,635,127756,72985,,2024-11-05 13:42:34,2024-11-05 13:42:34
2508,Ealing Central and Acton,ealing-central-and-acton,E14001207,636,132426,75399,,2024-11-05 13:42:34,2024-11-05 13:42:34
2509,Erith and Thamesmead,erith-and-thamesmead,E14001229,637,134969,76728,,2024-11-05 13:42:34,2024-11-05 13:42:34
2510,Luton South and South Bedfordshire,luton-south-and-south-bedfordshire,E14001346,638,123500,70197,,2024-11-05 13:42:34,2024-11-05 13:42:34
2511,Ilford South,ilford-south,E14001301,639,130666,74065,,2024-11-05 13:42:34,2024-11-05 13:42:34
2512,Feltham and Heston,feltham-and-heston,E14001236,640,133153,75226,,2024-11-05 13:42:34,2024-11-05 13:42:34
2513,Brent East,brent-east,E14001122,641,134510,75880,,2024-11-05 13:42:34,2024-11-05 13:42:34
2514,Tottenham,tottenham,E14001553,642,136277,75968,,2024-11-05 13:42:34,2024-11-05 13:42:34
2515,Peterborough,peterborough,E14001425,643,129664,72273,,2024-11-05 13:42:34,2024-11-05 13:42:34
2516,Slough,slough,E14001477,644,137544,75287,,2024-11-05 13:42:34,2024-11-05 13:42:34
2517,Poplar and Limehouse,poplar-and-limehouse,E14001430,645,138611,75814,,2024-11-05 13:42:34,2024-11-05 13:42:34
2518,Hendon,hendon,E14001279,646,130868,71496,,2024-11-05 13:42:34,2024-11-05 13:42:34
2519,East Ham,east-ham,E14001213,647,131034,70902,,2024-11-05 13:42:34,2024-11-05 13:42:34
2520,Barking,barking,E14001073,648,133816,71822,,2024-11-05 13:42:34,2024-11-05 13:42:34
2521,West Ham and Beckton,west-ham-and-beckton,E14001576,649,137226,70590,,2024-11-05 13:42:34,2024-11-05 13:42:34
2522,Birmingham Ladywood,birmingham-ladywood,E14001096,650,151867,76585,,2024-11-05 13:42:34,2024-11-05 13:42:34
