PARL25,LAD23,overlap_area,original_area,percentage_overlap_area,percentage_overlap_pop,overlap_pop,original_pop,__index_level_0__
UKPARL.2025.SOT,E06000045,22005839.99,22403706.63,0.98,1,112165,112165,611
UKPARL.2025.SPL,E07000213,51161317.87,51161362.61,1,1,99844,99844,785
UKPARL.2025.SPT,E08000007,25282310.76,25282342.99,1,1,105693.38,105693.38,771
UKPARL.2025.SPV,E08000034,62098876.43,62098885.84,1,1,96987.3,96987.3,903
UKPARL.2025.SRH,E07000209,35390333.65,130483289.6,0.27,0.07,7232,96537,168
UKPARL.2025.SRH,E07000214,95092918.51,130483289.6,0.73,0.93,89305,96537,430
UKPARL.2025.SRI,E07000118,66053530.16,141013464.7,0.47,0.18,17110.86,94886.86,290
UKPARL.2025.SRI,E07000126,74250683.93,141013464.7,0.53,0.82,77776,94886.86,320
UKPARL.2025.SSE,E08000019,47047072.66,47047106.69,1,1,107781.32,107781.32,793
UKPARL.2025.SSF,E07000200,595111655.4,602201115.6,0.99,1,92036,92036,626
UKPARL.2025.SSH,E08000023,35462836.52,36263577.38,0.98,1,92838.2,92838.2,593
UKPARL.2025.SSO,E06000051,1822686358,1822686681,1,1,96180.12,96180.12,895
UKPARL.2025.STA,E07000240,59694080.4,59694169.26,1,1,99748.11,99748.11,770
UKPARL.2025.STC,E06000021,36767777.19,36767786.5,1,1,110892.79,110892.79,870
UKPARL.2025.STF,E07000195,90780347.73,416318816.6,0.22,0.07,6984,94720.56,136
UKPARL.2025.STF,E07000197,325538368,416318816.6,0.78,0.93,87736.56,94720.56,456
UKPARL.2025.STG,S12000030,2250110595,2489638589,0.9,0.92,94210,102752.39,519
UKPARL.2025.STG,S12000048,237274553.1,2489638589,0.1,0.08,8542.39,102752.39,60
UKPARL.2025.STM,E07000198,532737176.4,532737279.9,1,1,87464,87464,887
UKPARL.2025.STN,E06000021,30465306.46,47899753.14,0.64,0.77,77533.65,101187.65,387
UKPARL.2025.STN,E07000195,17434431.13,47899753.14,0.36,0.23,23654,101187.65,226
UKPARL.2025.STR,E07000082,267625847.6,272931419.1,0.98,1,95975.02,95975.02,607
UKPARL.2025.STS,E06000021,26215384.81,158825289.3,0.17,0.72,67948.56,94379.56,96
UKPARL.2025.STS,E07000197,89497334.59,158825289.3,0.56,0.16,15460,94379.56,351
UKPARL.2025.STS,E07000198,43112536.52,158825289.3,0.27,0.12,10971,94379.56,169
UKPARL.2025.STV,E06000052,561631511.1,591463387.5,0.95,0.98,88449.98,90673.98,558
UKPARL.2025.STV,E06000053,16314259.82,591463387.5,0.03,0.02,2224,90673.98,10
UKPARL.2025.SUN,E08000024,29016703.12,30273469.67,0.96,1,102021.14,102021.14,570
UKPARL.2025.SUT,E08000025,57651041.06,57651056.67,1,1,93862.17,93862.17,864
UKPARL.2025.SVG,E07000099,24877623.66,63422538.2,0.39,0.08,8081,98303,238
UKPARL.2025.SVG,E07000242,12575657.21,63422538.2,0.2,0.02,2377,98303,120
UKPARL.2025.SVG,E07000243,25969232.58,63422538.2,0.41,0.89,87845,98303,250
UKPARL.2025.SWD,E06000026,26087231.81,398483161.7,0.07,0.58,54961,93961.71,38
UKPARL.2025.SWD,E07000044,278643692,398483161.7,0.7,0.34,31794,93961.71,417
UKPARL.2025.SWD,E07000047,89159632.91,398483161.7,0.22,0.08,7206.71,93961.71,140
UKPARL.2025.SWF,E07000170,16154363.49,309875421.1,0.05,0.35,35664,101290.14,27
UKPARL.2025.SWF,E07000173,56017778.86,309875421.1,0.18,0.16,16227.72,101290.14,108
UKPARL.2025.SWF,E07000175,237703264.4,309875421.1,0.77,0.49,49398.43,101290.14,448
UKPARL.2025.SWG,E09000010,19638997.21,24741192.21,0.79,0.58,76683.14,131419.34,464
UKPARL.2025.SWG,E09000014,5102193.9,24741192.21,0.21,0.42,54736.2,131419.34,129
UKPARL.2025.SWH,E07000096,8325035.03,97149202.37,0.09,0.05,5257,98580,52
UKPARL.2025.SWH,E07000102,88824095.27,97149202.37,0.91,0.95,93323,98580,529
UKPARL.2025.SWL,E06000033,23102669.16,24078376.52,0.96,1,104314,104314,572
UKPARL.2025.SWN,E07000143,544259720.2,1160870781,0.47,0.52,52928.2,102242.12,291
UKPARL.2025.SWN,E07000146,614860240.1,1160870781,0.53,0.48,49313.92,102242.12,324
UKPARL.2025.SWS,E08000029,39195008.39,39195130.9,1,1,92894.25,92894.25,751
UKPARL.2025.SWT,W06000011,32082931.07,32446947.67,0.99,1,109534.07,109534.07,631
UKPARL.2025.SWW,E06000054,451590937.6,451590947.9,1,1,95162.91,95162.91,930
UKPARL.2025.SXW,E07000065,481406088.8,481406223.7,1,1,90815.92,90815.92,863
UKPARL.2025.TAM,E06000065,1984542559,1986018658,1,1,97934.79,97934.79,702
UKPARL.2025.TAT,E06000007,16855488.62,361810129.4,0.05,0.13,12709,95636.7,22
UKPARL.2025.TAT,E06000049,223195636.9,361810129.4,0.62,0.68,65052,95636.7,379
UKPARL.2025.TAT,E06000050,121758249.9,361810129.4,0.34,0.19,17875.7,95636.7,209
UKPARL.2025.TAV,E07000046,985230611.3,1639901805,0.6,0.72,68267,95093.36,373
UKPARL.2025.TAV,E07000047,645361515.6,1639901805,0.39,0.28,26826.36,95093.36,241
UKPARL.2025.TAW,E06000066,287614080.6,287774146.7,1,1,105616.22,105616.22,704
UKPARL.2025.TAY,E06000025,417644878.9,420479745.4,0.99,1,95125.72,95125.72,658
UKPARL.2025.TEW,E07000078,11303969.94,321819806.6,0.04,0.18,17413,96035.97,12
UKPARL.2025.TEW,E07000081,4718109.53,321819806.6,0.01,0.17,15985.45,96035.97,5
UKPARL.2025.TEW,E07000083,305797652.2,321819806.6,0.95,0.65,62637.52,96035.97,560
UKPARL.2025.TFD,E06000020,51505395.97,51505433.5,1,1,101179.13,101179.13,792
UKPARL.2025.THK,E06000034,64372006.16,65155369.29,0.99,1,121494,121494,625
UKPARL.2025.TIP,E08000027,3218979.29,27452477.84,0.12,0.12,12590.1,108602.71,69
UKPARL.2025.TIP,E08000028,24233482.32,27452477.84,0.88,0.88,96012.61,108602.71,509
